FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
CL,767501485254,869-9,"Furiux Mass 6,8 Kg Vainilla - Canela",Bigman,Carbos / Subidores,"39,52",1,"39,52",30/09/2025,sept-2025,-213,VENDIDO CADUCADO,,#N/A
CL,8436594150982,1569-7,Whey Amino Complex 2 Kg Galleta Negra,Vitobest,Proteína,"31,21",1,"31,21",30/09/2025,sept-2025,-213,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 70-74gr, Añadido extra de aminoácidos, Concentrada, Destacados, Enzimas digestivas, Ganar músculo, LOWCOST, Polvo, Proteínas, Vitobest"
CL,8594159531451,1450-3,"Carbojet Gain 2,25 Kg Vainilla",Amix Nutrition,Carbos / Subidores,"19,39",1,"19,39",30/09/2025,sept-2025,-213,VENDIDO,,"0-20gr, 0-3gr, 1.01 kg - 2.50 kg, 10IVA, 65-80gr, < 3 kg, AMIX, Añadido extra de aminoácidos, Con carbohidratos, Dextrosa, Enzimas digestivas, Fructosa, Ganadores de peso, Ganar músculo, Maltodextrina, Palatinosa, Recuperación"
CL,8594060004990,1410-2,Protein Müsli 500 Gr Chocolate - Coco,Amix Nutrition,Comida Fitness,"11,12",1,"11,12",30/09/2025,sept-2025,-213,REGALO CADUCADO,Angel,"10IVA, AMIX, Comida Saludable, Desayunos Fit, Fit Food, Keto, MRPOPPERS"
CL,858382002491,1065-3,PM8 Micellar Casein 1.8 Kg Chocolate,Starlabs,Proteína,"41,61",3,"124,83",30/09/2025,sept-2025,-213,VENDIDO,1,"0-3gr, 1.01 kg - 2.50 kg, 10IVA, 5-9gr, 80-84gr, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Probióticos, Proteínas, Secuencial, Secuencial/caseína"
CL,8436609600129,12-8,100% Professional Whey 2 Kg Chocolate Blanco,Bigman,Proteína,"41,16",2,"82,32",30/09/2025,sept-2025,-213,VENDIDO,1,"1.01 kg - 2.50 kg, 10-14gr, 10IVA, 4-8gr, 70-74gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas"
CL,858382002798,1871-2,BM4 Big Muscle 2 Kg Plátano,Starlabs,Carbos / Subidores,"35,95",1,"35,95",30/09/2025,sept-2025,-213,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 15-24gr, 35-49gr, 4-8gr, < 3 kg, Avena, Con carbohidratos, Ganadores de peso, Ganar músculo, Huevo, Maltodextrina, Polvo, Recuperación, Secuencial/caseína"
CL,858382002804,1871-1,BM4 Big Muscle 2 Kg Café Latte,Starlabs,Carbos / Subidores,"35,95",1,"35,95",30/09/2025,sept-2025,-213,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 15-24gr, 35-49gr, 4-8gr, < 3 kg, Avena, Con carbohidratos, Ganadores de peso, Ganar músculo, Huevo, Maltodextrina, Polvo, Recuperación, Secuencial/caseína"
CL,8436594155574,2448-4,Whey Protein Bar 35 Gr Limón,Vitobest,Barritas & Snacks,"0,80",10,"8,00",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food, Keto, Masticable"
CL,8436609603410,2718,Recove Flex 90 Caps,Bigman,Articulaciones,"11,47",1,"11,47",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, Articulaciones, Colágeno, Condroitina, Glucosamina, MSM, Salud, Salud y Bienestar"
CL,8594159535374,1302,Carnosyn 100 Caps,Amix Nutrition,Preentreno / Precursores,"14,53",1,"14,53",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, AMAZON.AUMENTO.0.99, Aminoácidos, Aminoácidos individuales, AMIX, Beta alanina, Cápsulas, Energizantes, Ganar músculo, Más Energía, Perder peso, Pre-Entrenos, Salud y Bienestar, Sin cafeína, Sin estimulantes"
CL,8594159534285,134-1,Iso-lyn Recovery 800 Gr,Amix Nutrition,Carbos / Subidores,"12,88",1,"12,88",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 10IVA, < 3 kg, Aminoácidos, AMIX, Carbohidratos, Con carbohidratos, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Más Energía, Recuperación, Salud y Bienestar"
CL,8413412209350,563-11,Salsas Servivita 320 Ml Café - Toffee,Servivita,Comida Fitness,"1,71",1,"1,71",30/09/2025,sept-2025,-213,VENDIDO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
CL,8413412209411,563-20,Salsas Servivita 320 Ml Naranja - Chocolate,Servivita,Comida Fitness,"1,71",2,"3,42",30/09/2025,sept-2025,-213,VENDIDO,1,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
CL,8436578544516,1773,Sport Live D-TOX 90 Tab,Drasanvi,Salud y Bienestar,"7,50",1,"7,50",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, Alcachofa, Cardo mariano, Colina, Depuradores, Diente de león, Metionina, Salud, Salud y Bienestar, Vitamina B6"
CL,5060469986906,2464,Opti-Women 60 Caps,Optimum Nutrition,Vitaminas & Minerales,"11,37",5,"56,86",30/09/2025,sept-2025,-213,VENDIDO,3,"10IVA, Boro, Calcio, Cobre, Colina, Cromo, Cápsulas, Hierro, Magnesio, Manganeso, Salud, Salud y Bienestar, Selenio, Vitamina A, Vitamina B1, Vitamina B12, Vitamina B2, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina B7, Vitamina B9, Vitamina C, Vitamina D, Vitamina E, Vitamina K, Vitaminas, Yodo, Zinc, Ácido Fólico"
CL,8436540531100,1445-2,Recovery Total 700 Gr Vainilla,Vitobest,Carbos / Subidores,"10,85",2,"21,70",30/09/2025,sept-2025,-213,VENDIDO,1,"0 kg - 1 kg, 10IVA, < 3 kg, Aminoácidos, Calcio, Carbohidratos, Con carbohidratos, Dextrosa, Endurance, Ganar músculo, Glutamina y Bcaa, Hierro, Magnesio, MSM, Más Energía, Potasio, Recuperación, Sodio, Vitamina C, Vitaminas / minerales, Zinc"
LR,728633107742,103-1,HOS 3 PACK ciclo 25 días,Scitec Nutrition,Prohormonales,"29,68",2,"59,36",30/09/2025,sept-2025,-213,VENDIDO,1,"10IVA, Acido aspártico, Anabólicos naturales, Bcaa, Control de estrógeno, Control de estrógenos, Cápsulas, Ecdisterona, Estimulador testosterona, Fenogreco, Ganar músculo, HMB, Multiacción / Complejos, Zinc"
CL,8437014456202,1649-1,"Instant Oatmeal 1,9 Kg Chocolate con avellanas",Perfect Nutrition,Avena / Arroz,"6,88",1,"6,88",30/09/2025,sept-2025,-213,VENDIDO,,"+vistos, 0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.2.99, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
CL,8425402784471,1714-1,Harina de arroz instantánea 1 Kg Chocolate Negro,American Nutrition,Avena / Arroz,"3,39",3,"10,17",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
CL,8425402784549,1714-9,Harina de arroz instantánea 1 Kg Fresa,American Nutrition,Avena / Arroz,"3,39",2,"6,78",30/09/2025,sept-2025,-213,VENDIDO,1,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
CL,8436594153044,1558-14,Whey Amino Complex 500 Gr Galleta Negra - Nata,Vitobest,Proteína,"8,16",2,"16,31",30/09/2025,sept-2025,-213,VENDIDO,1,"1.01 kg - 2.50 kg, 10IVA, 15-24gr, 4-8gr, 70-74gr, AMAZON.AUMENTO.1.99, Añadido extra de aminoácidos, Concentrada, Ganar músculo, Polvo, PRODUCTOCL, Proteínas"
CL,8436578410132,1551-4,Whey 100 500 Gr Chocolate con Leche,WheyLand,Proteína,"11,28",2,"22,55",30/09/2025,sept-2025,-213,VENDIDO,1,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, AMAZON.AUMENTO.3.99, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8436578411153,1181-11,Whey 100 1 Kg Cookie Toffee,WheyLand,Proteína,"20,90",2,"41,80",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, DECATHLON.AUMENTO.2.99, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8436578411191,1181-13,Whey 100 1 Kg White Cookies,WheyLand,Proteína,"20,90",1,"20,90",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, DECATHLON.AUMENTO.2.99, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8436578410088,1181-3,Whey 100 1 Kg Cookies & Cream,WheyLand,Proteína,"20,90",2,"41,80",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, DECATHLON.AUMENTO.2.99, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8436609600389,471-7,Zero Protein Isolate 910 Gr Cookies,Bigman,Proteína,"31,79",3,"95,37",30/09/2025,sept-2025,-213,VENDIDO,2,#N/A
CL,8425252162597,1853-5,Only Whey 1 kg Capuccino - Vainilla,BIG,Proteína,"29,59",1,"29,59",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, AMAZON.AUMENTO.5.99, BULEVIP.AUMENTO.7.99, Concentrada, DECATHLON.AUMENTO.7.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8436574980165,1859-1,"IsoJuice 1,36 Kg Sex on the Beach",Starlabs,Proteína,"42,97",1,"42,97",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Ganar músculo, Perder peso, Polvo, Proteínas, Recuperación, Sin carbohidratos"
CL,5060469988542,167-9,"100% Whey Gold 2,27 Kg Fresa",Optimum Nutrition,Proteína,"58,88",1,"58,88",30/09/2025,sept-2025,-213,VENDIDO,,#N/A
CL,745808244651,15-8,Multiphase Whey 908 Gr Chocolate Blanco,Bigman,Proteína,"18,90",1,"18,90",30/09/2025,sept-2025,-213,VENDIDO,,#N/A
CL,8436609600105,12-8,100% Professional Whey 2 Kg Chocolate,Bigman,Proteína,"41,16",1,"41,16",30/09/2025,sept-2025,-213,VENDIDO,,#N/A
CL,8436609600112,12-4,100% Professional Whey 2 Kg Vainilla - Canela,Bigman,Proteína,"41,16",1,"41,16",30/09/2025,sept-2025,-213,VENDIDO,,"1.01 kg - 2.50 kg, 10-14gr, 10IVA, 4-8gr, 70-74gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas"
CL,8436578410743,1517-6,Whey 100 2 Kg Caramelo Salado,WheyLand,Proteína,"40,70",1,"40,70",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8594159538795,495-10,Whey Pure Fusion 1 Kg Chocolate Blanco,Amix Nutrition,Proteína,"23,95",1,"23,95",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, AMIX, Combinada, Enzimas digestivas, Ganar músculo, Mixta (iso/concentrado), Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8435654802274,2726-3,Flapjack Gourmet Mr Poppers 100 Gr 1 Ud Manzana con Caramelo y Chocolate Blanco,Amix Nutrition,Barritas & Snacks,"1,75",26,"45,50",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, MRPOPPERS, Más Energía"
3C,8436594151361,1569-5,Whey Amino Complex 2 Kg Limón - Yogurt,Vitobest,Proteína,"31,21",1,"31,21",30/09/2025,sept-2025,-213,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 70-74gr, Añadido extra de aminoácidos, Concentrada, Destacados, Enzimas digestivas, Ganar músculo, LOWCOST, Polvo, Proteínas, Vitobest"
3C,5060469989082,167-9,"100% Whey Gold 2,27 Kg Plátano",Optimum Nutrition,Proteína,"58,88",1,"58,88",30/09/2025,sept-2025,-213,VENDIDO,,
3C,8594159537385,499-1,Pure CFM Whey Nitro Protein Isolate 1 Kg Doble Chocolate,Amix Nutrition,Proteína,"32,02",1,"32,02",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, MUSCLECORE, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594159534575,1263-3,Predator Protein 2 kg Galleta,Amix Nutrition,Proteína,"40,06",1,"40,06",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 1.01 kg - 2.50 kg, 10IVA, 15-24gr, 4-8gr, 70-74gr, AMIX, Ganar músculo, Maltodextrina, Polvo, Proteínas"
3C,8437014456202,1649-1,"Instant Oatmeal 1,9 Kg Chocolate con avellanas",Perfect Nutrition,Avena / Arroz,"6,88",4,"27,52",30/09/2025,sept-2025,-213,VENDIDO,,
3C,8436574980134,1859-3,"IsoJuice 1,36 Kg Manzana",Starlabs,Proteína,"42,97",1,"42,97",30/09/2025,sept-2025,-213,VENDIDO CADUCADO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Ganar músculo, Perder peso, Polvo, Proteínas, Recuperación, Sin carbohidratos"
3C,8436609600358,471-7,Zero Protein Isolate 910 Gr Chocolate,Bigman,Proteína,"31,79",1,"31,79",30/09/2025,sept-2025,-213,VENDIDO,,#N/A
3C,8436609600372,471-7,Zero Protein Isolate 910 Gr Fresa,Bigman,Proteína,"31,79",1,"31,79",30/09/2025,sept-2025,-213,VENDIDO,,#N/A
3C,8436578410873,1552-3,Iso Zero 500 Gr Chocolate con Leche,WheyLand,Proteína,"15,68",2,"31,35",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8436578410897,1552-4,Iso Zero 500 Gr Fresa,WheyLand,Proteína,"15,68",1,"15,68",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8436578410101,1551-5,Whey 100 500 Gr Capuchino,WheyLand,Proteína,"11,28",1,"11,28",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, AMAZON.AUMENTO.3.99, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
3C,8436594154270,2457-8,Whey Protein 100% 2 Kg Fresa,Vitobest,Proteína,"39,03",1,"39,03",30/09/2025,sept-2025,-213,VENDIDO,,
3C,8436578410743,1517-6,Whey 100 2 Kg Caramelo Salado,WheyLand,Proteína,"40,70",1,"40,70",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
3C,8436609600129,12-8,100% Professional Whey 2 Kg Chocolate Blanco,Bigman,Proteína,"41,16",1,"41,16",30/09/2025,sept-2025,-213,VENDIDO,,"1.01 kg - 2.50 kg, 10-14gr, 10IVA, 4-8gr, 70-74gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas"
3C,8436609600112,12-4,100% Professional Whey 2 Kg Vainilla - Canela,Bigman,Proteína,"41,16",1,"41,16",30/09/2025,sept-2025,-213,VENDIDO,,"1.01 kg - 2.50 kg, 10-14gr, 10IVA, 4-8gr, 70-74gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas"
3C,8436578411009,1180-13,Iso Zero 1 Kg Cookie Toffee,WheyLand,Proteína,"29,10",1,"29,10",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, AMAZON.AUMENTO.4.99, BULEVIP.AUMENTO.2.99, DECATHLON.AUMENTO.4.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8436578410088,1181-3,Whey 100 1 Kg Cookies & Cream,WheyLand,Proteína,"20,90",1,"20,90",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, DECATHLON.AUMENTO.2.99, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
3C,8425402784549,1714-9,Harina de arroz instantánea 1 Kg Fresa,American Nutrition,Avena / Arroz,"3,39",1,"3,39",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
3C,858382002491,1065-3,PM8 Micellar Casein 1.8 Kg Chocolate,Starlabs,Proteína,"41,61",3,"124,83",30/09/2025,sept-2025,-213,VENDIDO,,"0-3gr, 1.01 kg - 2.50 kg, 10IVA, 5-9gr, 80-84gr, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Probióticos, Proteínas, Secuencial, Secuencial/caseína"
3C,728633109395,212-1,Daa Pro 100 Caps,Scitec Nutrition,Prohormonales,"9,47",1,"9,47",30/09/2025,sept-2025,-213,VENDIDO CADUCADO,,"10IVA, Acido aspártico, Anabólicos naturales, Cápsulas, Estimulador testosterona, Ganar músculo, Multiacción / Complejos, Zinc"
3C,8594159535732,452-1,MYOsterones 90 Caps,Amix Nutrition,Prohormonales,"23,72",2,"47,44",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, AMIX, Anabólicos naturales, Control de estrógeno, Control de estrógenos, Cápsulas, Ecdisterona, Estimulador testosterona, Fenogreco, Ganar músculo, Maca, Multiacción / Complejos, Testosterona"
3C,8594159537491,451-1,Creatine Magna Power 120 Caps,Amix Nutrition,Creatina,"15,99",1,"15,99",30/09/2025,sept-2025,-213,VENDIDO,,"0-4gr, 10IVA, AMIX, Creatina, Cápsulas, Ganar músculo, MUSCLECORE, Otras fórmulas"
3C,8436578410408,1421,Bcaa Pure 300 Gr,WheyLand,Aminoácidos,"10,76",1,"10,76",30/09/2025,sept-2025,-213,VENDIDO CADUCADO,,"+vistos, 10IVA, Aminoácidos, Bcaa, Endurance, Ganar músculo, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
3C,8594159537552,2050-1,Performance E-Lite Liquid Electrolytes 25 Ml Naranja,Amix Nutrition,Vitaminas & Minerales,"0,63",5,"3,15",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, AMIXPERFORMANCE, Calcio, Endurance, Líquido, Magnesio, Minerales, Más Energía, Potasio, Recuperación, Sin carbohidratos, Sodio, TRADEINN.EXCLUIDO, Vitamina C, Vitamina D"
3C,5060469986906,2464,Opti-Women 60 Caps,Optimum Nutrition,Vitaminas & Minerales,"11,37",2,"22,75",30/09/2025,sept-2025,-213,VENDIDO CADUCADO,,"10IVA, Boro, Calcio, Cobre, Colina, Cromo, Cápsulas, Hierro, Magnesio, Manganeso, Salud, Salud y Bienestar, Selenio, Vitamina A, Vitamina B1, Vitamina B12, Vitamina B2, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina B7, Vitamina B9, Vitamina C, Vitamina D, Vitamina E, Vitamina K, Vitaminas, Yodo, Zinc, Ácido Fólico"
3C,8435654802274,2726-3,Flapjack Gourmet Mr Poppers 100 Gr 1 Ud Manzana con Caramelo y Chocolate Blanco,Amix Nutrition,Barritas & Snacks,"1,75",56,"98,00",30/09/2025,sept-2025,-213,VENDIDO CADUCADO,4ud,"10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, MRPOPPERS, Más Energía"
3C,8594159534575,1263-3,Predator Protein 2 kg Galleta,Amix Nutrition,Proteína,"40,06",1,"40,06",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 1.01 kg - 2.50 kg, 10IVA, 15-24gr, 4-8gr, 70-74gr, AMIX, Ganar músculo, Maltodextrina, Polvo, Proteínas"
3C,8437014456202,1649-1,"Instant Oatmeal 1,9 Kg Chocolate con avellanas",Perfect Nutrition,Avena / Arroz,"6,88",9,"61,92",30/09/2025,sept-2025,-213,VENDIDO,,"+vistos, 0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.2.99, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
3C,8436540531100,1445-2,Recovery Total 700 Gr Vainilla,Vitobest,Carbos / Subidores,"10,85",1,"10,85",30/09/2025,sept-2025,-213,VENDIDO,,"0 kg - 1 kg, 10IVA, < 3 kg, Aminoácidos, Calcio, Carbohidratos, Con carbohidratos, Dextrosa, Endurance, Ganar músculo, Glutamina y Bcaa, Hierro, Magnesio, MSM, Más Energía, Potasio, Recuperación, Sodio, Vitamina C, Vitaminas / minerales, Zinc"
CL,8901138110710,142-1,Liv52 100 Tab,Himalaya,Salud y Bienestar,"5,19",2,"10,38",30/09/2025,sept-2025,-213,VENDIDO,1,"10IVA, Depuradores, Fórmula Ayurvédica, Salud, Salud y Bienestar"
3C,8901138110710,142-1,Liv52 100 Tab,Himalaya,Salud y Bienestar,"5,19",2,"10,38",30/09/2025,sept-2025,-213,VENDIDO,,
LR,8594159537545,2050-2,Performance E-Lite Liquid Electrolytes 25 Ml Arándanos,Amix Nutrition,Vitaminas & Minerales,"0,63",5,"3,15",30/09/2025,sept-2025,-213,VENDIDO,quedan 2,"10IVA, AMIXPERFORMANCE, Calcio, Endurance, Líquido, Magnesio, Minerales, Más Energía, Potasio, Recuperación, Sin carbohidratos, Sodio, TRADEINN.EXCLUIDO, Vitamina C, Vitamina D"
3C,8413412209350,563-11,Salsas Servivita 320 Ml Café - Toffee,Servivita,Comida Fitness,"1,71",1,"1,71",30/09/2025,sept-2025,-213,REGALO CADUCADO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
3C,8425252157579,785-2,Good Morning Perfect BreakFAST 500 Gr Chocolate Blanco,Max Protein,Comida Fitness,"6,59",3,"19,77",30/09/2025,sept-2025,-213,VENDIDO CADUCADO,1,"10IVA, Comida Saludable, Desayunos Fit, Fit Food"
CL,8425252157579,785-2,Good Morning Perfect BreakFAST 500 Gr Chocolate Blanco,Max Protein,Comida Fitness,"6,59",2,"13,18",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, Comida Saludable, Desayunos Fit, Fit Food"
AL,8023678161363,2720,Bebida de Avena Sin Gluten Bio 1 L,Isola Bio,Comida Fitness,"1,12",13,"14,56",30/09/2025,sept-2025,-213,VENDIDO,,"10IVA, Alimentos orgánicos, Bebidas vegetales, Comida Saludable, Desayunos Fit, Fit Food, Keto, Líquido, Otros alimentos BIO, Sin Gluten"
LR,857401005260,1254-1,i90 Isolac CFM 908 Gr Vainilla,Starlabs,Proteína,"29,32",1,"29,32",30/09/2025,sept-2025,-213,VENDIDO CADUCADO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, AMAZON.AUMENTO.1.99, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten, Vitaminas / minerales"
3C,8436578410132,1551-4,Whey 100 500 Gr Chocolate con Leche,WheyLand,Proteína,"11,28",1,"11,28",30/09/2025,sept-2025,-213,VENDIDO,,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, AMAZON.AUMENTO.3.99, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8413412209350,563-11,Salsas Servivita 320 Ml Café - Toffee,Servivita,Comida Fitness,"1,71",1,"1,71",01/10/2025,oct-2025,-212,VENDIDO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
LR,8594060004969,1399,Producto no encontrado - Rellenar en observaciones,Amix Nutrition,Salud y Bienestar,"29,87",3,"89,61",01/10/2025,oct-2025,-212,VENDIDO,Queso Cuña Eatlean / queda 1,"10IVA, AMIX, AMIXPRO, Flora intestinal, Glucosa en sangre, Probióticos, Salud, Salud y Bienestar, Sistema digestivo"
