FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
CL,8436567350470,2582-2,Isotonic Drink 1 Kg Cola,226ERS,Carbos / Subidores,"19,80",1,"19,80",01/01/2025,ene-2025,-485,ROTO,ROTO 7/27 VIENE DE ALM,"0 kg - 1 kg, 10IVA, < 3 kg, BULEVIP.AUMENTO.0.99, Carbohidratos, Cloro, Con carbohidratos, DECATHLON.AUMENTO.0.99, Endurance, Magnesio, Más Energía, Polvo, Potasio, Recuperación, Salud y Bienestar, Vitamina B1, Vitamina C, Vitamina E, Vitaminas / minerales, Zinc"
CL,8594046792385,2756,Creatine Creapure Capsules 300 Caps,Amix Nutrition,Creatina,"25,15",1,"25,15",01/01/2025,ene-2025,-485,VENDIDO,ROTO 3/28,"0-4gr, 10IVA, Creapure, Creatina, Cápsulas, Ganar músculo, Monohidrato"
CL,8437024233114,1544,Creatine 100% Creapure 400 Gr,Perfect Nutrition,Creatina,"15,95",1,"15,95",01/01/2025,ene-2025,-485,VENDIDO,ROTO 6/27,"+vistos, 0-4gr, 10IVA, Creapure, Creatina, Ganar músculo, Monohidrato, Más Energía, Polvo"
CL,5999076234912,1145-6,Vegan Protein 2 Kg Avellana,Biotech USA,Proteína,"35,44",1,"35,44",01/01/2025,ene-2025,-485,ROTO,PEQUEÑA ROTURA 14/02/2027,"1.01 kg - 2.50 kg, 10-14gr, 10IVA, 4-8gr, 71-75gr, Arginina, Ganar músculo, Glutamina, No animal / Vegetal, Perder peso, Polvo, Proteínas, Vegana"
CL,5999076227969,1476-1,Protein Power 1 Kg Fresa - Plátano,Biotech USA,Proteína,"14,49",1,"14,49",01/01/2025,ene-2025,-485,VENDIDO,PEQUEÑA ROTURA 31/12/2027,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, AMAZON.AUMENTO.1.99, Combinada, Contiene Creatina, Ganar músculo, Mixta (iso/concentrado), Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Secuencial, Secuencial/caseína"
CL,5060751995418,2469-3,High Protein Shake 500 Ml Vainilla,Optimum Nutrition,Proteína,"2,39",4,"9,56",25/07/2026,jul-2026,85,VIGENTE,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,8436540534460,1401-1,Glutamine + Bcaa 500 Gr Limón,Vitobest,Aminoácidos,"17,14",1,"17,14",01/01/2025,ene-2025,-485,VENDIDO CADUCADO,PEQUEÑA ROTURA 31/08/2025,"+relevantes, 10IVA, Aminoácidos, Destacados, Endurance, Ganar músculo, Glutamina y Bcaa, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Vitamina B6"
CL,8436578410019,1181-4,Whey 100 1 Kg Chocolate con Leche,WheyLand,Proteína,"20,90",1,"20,90",01/01/2025,ene-2025,-485,VENDIDO,PEQUEÑA ROTURA 31/01/2027,"+relevantes, 0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, DECATHLON.AUMENTO.2.99, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
CL,8436044517297,1791,Sport Live 100% Creatine Monohydrate Creapure 300 Gr,Drasanvi,Creatina,"11,79",1,"11,79",01/01/2025,ene-2025,-485,VENDIDO,,"+vistos, 0-4gr, 10IVA, Creapure, Creatina, Ganar músculo, Monohidrato, Polvo"
3C,8437024233022,1624-5,Salsas Old Lion 330 Ml Chocolate Blanco,Old Lion,Comida Fitness,"1,69",1,"1,69",17/01/2025,ene-2025,-469,REGALO CADUCADO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
LR,8437011127501,1044-1,"Glucogen 1,8 Kg",Perfect Nutrition,Carbos / Subidores,"8,67",1,"8,67",31/01/2025,ene-2025,-455,REGALO CADUCADO,Santi,"1.01 kg - 2 kg, 10IVA, 81-100gr, < 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Endurance, Ganar músculo, Maltodextrina, Más Energía, Palatinosa, Polvo, Recuperación"
CL,8436540533203,2153,Epicor 50 Caps,Vitobest,Salud y Bienestar,"9,70",1,"9,70",31/01/2025,ene-2025,-455,REGALO CADUCADO,alberto,"10IVA, Cápsulas, Levadura de cerveza, Salud, Salud y Bienestar, Sistema Inmune"
CL,8436594153846,2120,Castaño de indias BIO 45 Caps,Vitobest,Salud y Bienestar,"7,00",1,"7,00",28/02/2025,feb-2025,-427,REGALO CADUCADO,,"10IVA, Antioxidantes, Castaño de Indias, Cápsulas, Salud, Salud y Bienestar, Sistema digestivo"
CL,8436609601041,1255-2,"Instant Rice Flour 1,5 Kg Chocolate Blanco",Bigman,Avena / Arroz,"5,73",1,"5,73",28/02/2025,feb-2025,-427,REGALO CADUCADO,,"1.01 kg - 2 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.3.99, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
CL,8436594150357,1447,Pain Gel 100 Ml,Vitobest,Articulaciones,"7,28",2,"14,57",31/03/2025,mar-2025,-396,VENDIDO CADUCADO,SIN TAPA O CON BASTANTE DESPERFECTO,"10IVA, Articulaciones, Gel, Salud, Salud y Bienestar"
LR,858382002422,1650-2,A70 Carbofuse 2 Kg Melocotón,Starlabs,Carbos / Subidores,"18,71",1,"18,71",31/03/2025,mar-2025,-396,VENDIDO CADUCADO,,#N/A
CL,8422584010565,1743,Azúcar de Abedul (Xilitol) 350 Gr,El Granero,Comida Fitness,"4,31",1,"4,31",31/03/2025,mar-2025,-396,REGALO CADUCADO,,"10IVA, Desayunos Fit, Fit Food, Keto, Salsas cremas y siropes, Sin lactosa, Xilitol"
CL,858382002361,1650-2,A70 Carbofuse 2 Kg Melocotón,Starlabs,Carbos / Subidores,"18,71",1,"18,71",31/03/2025,mar-2025,-396,VENDIDO CADUCADO,VINO CADUCADO DE LR ,
LR,8436578410392,1172,Citrulline Malate 300 Gr,WheyLand,Preentreno / Precursores,"9,01",2,"18,02",30/04/2025,abr-2025,-366,REGALO CADUCADO,1 hans 1 alberto,"10IVA, AMAZON.AUMENTO.2.99, Aminoácidos, Aminoácidos individuales, Citrulina, Energizantes, Ganar músculo, Más Energía, Perder peso, Polvo, Pre-Entrenos, PRODUCTOCL, Salud, Salud y Bienestar, Sin cafeína, Sin estimulantes"
LR,8437011127853,1733-1,Fit Meal Shake 700 Gr Chocolate Bombón,Perfect Nutrition,Control y Pérdida de peso,"13,19",1,"13,19",30/04/2025,abr-2025,-366,REGALO CADUCADO,,"10IVA, Cacao, Carnitina, Colágeno, Comida Saludable, Control de peso, Fit Food, Maltodextrina, Perder peso, Polvo, Vitaminas / minerales"
LR,8436609601157,1268-9,"Instant Oatmeal 1,5 Kg Fresa - Plátano",Bigman,Avena / Arroz,"4,71",1,"4,71",30/04/2025,abr-2025,-366,REGALO CADUCADO,,"+vistos, 0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, PRODUCTO3C"
LR,8436568400501,1278,Maca Andina Bio 1 Kg,BioArtesa,Salud y Bienestar,"12,01",1,"12,01",30/04/2025,abr-2025,-366,VENDIDO CADUCADO,,"10IVA, Alimentos orgánicos, Anabólicos naturales, Energizantes, Estimulador testosterona, Estrés y Ansiedad, Ganar músculo, Maca, Multiacción / Complejos, Más Energía, Polvo, Sin estimulantes, Superalimentos, Testosterona"
3C,7227692417174,1317,Arthroxon Plus 108 Caps,Scitec Nutrition,Articulaciones,"13,98",2,"27,96",30/04/2025,abr-2025,-366,REGALO CADUCADO,alberto se lleva,#N/A
3C,8436578410392,1172,Citrulline Malate 300 Gr,WheyLand,Preentreno / Precursores,"12,06",2,"24,120",30/04/2025,abr-2025,-366,VENDIDO CADUCADO,1 vendida una regalada,"10IVA, AMAZON.AUMENTO.2.99, Aminoácidos, Aminoácidos individuales, Citrulina, Energizantes, Ganar músculo, Más Energía, Perder peso, Polvo, Pre-Entrenos, PRODUCTOCL, Salud, Salud y Bienestar, Sin cafeína, Sin estimulantes"
LR,5999076227716,582-1,L-Arginine 300 Gr,Biotech USA,Preentreno / Precursores,"14,87",2,"29,74",14/05/2025,may-2025,-352,REGALO CADUCADO,-1 johan,"10IVA, Aminoácidos, Aminoácidos individuales, Arginina, Energizantes, Ganar músculo, Más Energía, Oferta, Otros aminoácidos, Perder peso, Polvo, Pre-Entrenos, Salud, Salud y Bienestar, Sin cafeína, Sin estimulantes"
LR,5999076224425,716-4,Nitrox Therapy 340 Gr Melocotón,Biotech USA,Preentreno / Precursores,"11,13",1,"11,13",16/05/2025,may-2025,-350,VENDIDO CADUCADO,,"10IVA, ALA, Arginina, Bcaa, Beta alanina, Cafeína, Calcio, Citrulina, Con estimulantes, Contiene Creatina, Cranberry, Energizantes, Frutas, Magnesio, Melocotón, Más Energía, Papaya, Pre-Entrenos, Vitamina B, Vitaminas B"
CL,8436568400358,2008,Jengibre Molido Bio 1 Kg,BioArtesa,Salud y Bienestar,"10,44",1,"10,44",20/05/2025,may-2025,-346,CADUCADO,,"10IVA, Alimentos orgánicos, Antioxidantes, Fit Food, Jengibre, Otros alimentos BIO, Polvo, Salud, Salud y Bienestar, Sistema Inmune"
3C,8594060001975,1984,Tribulyn Max 90% 30 Caps,Amix Nutrition,Prohormonales,"0,00",1,"0,00",30/05/2025,may-2025,-336,VENDIDO,,"10IVA, AMIX, Anabólicos naturales, Cápsulas, Energizantes, Estimulador testosterona, Ganar músculo, Más Energía, Sin estimulantes, Testosterona, Tribulus"
3C,8436540535375,1554-5,Monstrous Gainer 7 Kg Fresa,Vitobest,Carbos / Subidores,"41,92",1,"41,92",30/05/2025,may-2025,-336,VENDIDO,,"0-20gr, 0-3gr, 10IVA, 65-80gr, > 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Contiene Creatina, Dextrosa, Ganadores de peso, Ganar músculo, Maltodextrina, Más Energía, Polvo, Recuperación"
LR,8594060001975,1984,Tribulyn Max 90% 30 Caps,Amix Nutrition,Prohormonales,"0,00",1,"0,00",31/05/2025,may-2025,-335,REGALO CADUCADO,,"10IVA, AMIX, Anabólicos naturales, Cápsulas, Energizantes, Estimulador testosterona, Ganar músculo, Más Energía, Sin estimulantes, Testosterona, Tribulus"
LR,8436578411276,1517-13,Whey 100 2 Kg Caramel Custard,WheyLand,Proteína,"40,70",1,"40,70",31/05/2025,may-2025,-335,VENDIDO CADUCADO,,"+relevantes, 1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
LR,636665938565,1250-2,Carborelease 2 Kg Neutro,Bigman,Carbos / Subidores,"11,14",1,"11,14",31/05/2025,may-2025,-335,CADUCADO,,#N/A
LR,636665938558,1250-2,Carborelease 2 Kg Frutas del Bosque,Bigman,Carbos / Subidores,"11,14",1,"11,14",31/05/2025,may-2025,-335,VENDIDO CADUCADO,,#N/A
CL,8436540535382,1554-5,Monstrous Gainer 7 Kg Fresa,Vitobest,Carbos / Subidores,"41,92",3,"125,76",31/05/2025,may-2025,-335,CADUCADO,VINO CADUCADO DE LR 1,
CL,5999076224425,716-4,Nitrox Therapy 340 Gr Melocotón,Biotech USA,Preentreno / Precursores,"11,13",1,"11,13",16/06/2025,jun-2025,-319,VENDIDO CADUCADO,,"10IVA, ALA, Arginina, Bcaa, Beta alanina, Cafeína, Calcio, Citrulina, Con estimulantes, Contiene Creatina, Cranberry, Energizantes, Frutas, Magnesio, Melocotón, Más Energía, Papaya, Pre-Entrenos, Vitamina B, Vitaminas B"
CL,858382002477,1065-1,PM8 Micellar Casein 1.8 Kg Fresa,Starlabs,Proteína,"41,61",1,"41,61",28/06/2025,jun-2025,-307,VENDIDO,,"0-3gr, 1.01 kg - 2.50 kg, 10IVA, 5-9gr, 80-84gr, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Probióticos, Proteínas, Secuencial, Secuencial/caseína"
CL,5060751995388,2663-2,High Protein Shake 330 Ml Vainilla,Optimum Nutrition,Proteína,"2,39",4,"9,56",28/06/2025,jun-2025,-307,VENDIDO,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
